SampleID n_geno_missing n_het_total n_hom_total n_het_covered n_hom_covered n_het_consistent n_hom_consistent perc_het_consistent perc_hom_consistent n_het_in_ase
NA10847 0 27500 57985 203 471 103 317 0 0 33
NA10851 0 28749 56736 221 453 94 290 0 0 21
NA11829 0 27288 58197 204 470 75 288 0 0 21
NA11830 0 28145 57340 258 416 104 263 0 0 25
NA11831 0 26727 58758 212 462 107 312 0 0 30
NA11832 0 28288 57197 252 422 96 261 0 0 28
NA11840 0 28382 57103 209 465 85 293 0 0 21
NA11843 0 27938 57547 230 444 108 295 0 0 33
NA11881 0 28495 56990 226 448 116 307 0 0 31
NA11892 0 30131 55354 251 423 108 274 0 0 23
NA11893 0 27082 58403 203 471 94 308 0 0 21
NA11894 0 28680 56805 240 434 122 299 0 0 35
NA11918 0 27858 57627 225 449 78 270 0 0 23
NA11920 0 28859 56626 225 449 96 288 0 0 23
NA11930 0 27747 57738 193 481 91 315 0 0 26
NA11931 0 29923 55562 240 434 121 298 0 0 25
NA11992 0 28486 56999 248 426 114 283 0 0 26
NA11994 0 25961 59524 166 508 74 325 0 0 20
NA11995 0 28156 57329 236 438 102 283 0 0 30
NA12004 0 29123 56362 214 460 106 309 0 0 32
NA12005 0 26687 58798 188 486 96 325 0 0 22
NA12006 0 28211 57274 192 482 80 305 0 0 21
NA12043 0 27316 58169 223 451 85 279 0 0 23
NA12044 0 25264 60221 190 484 86 313 0 0 21
NA12045 0 28203 57282 215 459 120 322 0 0 30
NA12058 0 26784 58701 217 457 92 292 0 0 23
NA12144 0 28215 57270 213 461 93 297 0 0 30
NA12154 0 27052 58433 211 463 89 295 0 0 22
NA12155 0 27602 57883 209 465 86 294 0 0 25
NA12156 0 27461 58024 185 489 100 332 0 0 18
NA12234 0 28354 57131 212 462 91 296 0 0 24
NA12249 0 26624 58861 212 462 90 295 0 0 22
NA12272 0 26521 58964 217 457 94 294 0 0 22
NA12273 0 26440 59045 178 496 64 303 0 0 22
NA12275 0 28274 57211 260 414 122 279 0 0 30
NA12282 0 25273 60212 199 475 93 311 0 0 29
NA12283 0 28571 56914 235 439 102 284 0 0 29
NA12286 0 29247 56238 215 459 111 313 0 0 35
NA12287 0 27616 57869 194 480 98 321 0 0 23
NA12340 0 25109 60376 228 446 108 297 0 0 25
NA12341 0 24966 60519 233 441 116 300 0 0 31
NA12342 0 25929 59556 213 461 104 308 0 0 20
NA12347 0 27584 57901 226 448 97 288 0 0 29
NA12348 0 27653 57832 222 452 103 298 0 0 27
NA12383 0 28674 56811 219 455 86 284 0 0 28
NA12399 0 28073 57412 271 403 110 256 0 0 32
NA12400 0 28371 57114 213 461 77 281 0 0 27
NA12413 0 27712 57773 167 507 65 315 0 0 22
NA12489 0 28002 57483 240 434 120 297 0 0 29
NA12546 0 27976 57509 215 459 84 286 0 0 23
NA12716 0 27955 57530 212 462 114 319 0 0 26
NA12717 0 26352 59133 216 458 95 296 0 0 27
NA12718 0 26280 59205 209 465 85 293 0 0 22
NA12749 0 25977 59508 206 468 99 310 0 0 21
NA12750 0 28297 57188 226 448 89 280 0 0 20
NA12751 0 26825 58660 265 409 134 286 0 0 37
NA12760 0 28198 57287 240 434 103 280 0 0 27
NA12761 0 28299 57186 195 479 94 316 0 0 18
NA12762 0 29257 56228 204 470 72 285 0 0 25
NA12763 0 26828 58657 223 451 106 300 0 0 27
NA12775 0 27473 58012 210 464 80 287 0 0 22
NA12776 0 26866 58619 240 434 90 267 0 0 30
NA12777 0 27572 57913 187 487 76 306 0 0 20
NA12778 0 29356 56129 238 436 117 296 0 0 29
NA12812 0 28278 57207 206 468 85 296 0 0 25
NA12813 0 28308 57177 215 459 109 311 0 0 30
NA12814 0 27330 58155 216 458 95 296 0 0 20
NA12815 0 29197 56288 212 462 90 295 0 0 25
NA12827 0 25747 59738 204 470 101 314 0 0 27
NA12829 0 28796 56689 219 455 83 281 0 0 29
NA12830 0 27329 58156 176 498 78 319 0 0 22
NA12842 0 28549 56936 245 429 122 294 0 0 32
NA12843 0 28211 57274 221 453 115 311 0 0 24
NA12872 0 28007 57478 200 474 92 309 0 0 24
NA12873 0 25124 60361 167 507 60 310 0 0 16
NA12874 0 27923 57562 206 468 93 304 0 0 25
NA12889 0 28742 56743 269 405 105 253 0 0 31
NA12890 0 26031 59454 210 464 93 300 0 0 27
NA20502 0 27615 57870 221 453 89 285 0 0 27
NA20503 0 26968 58517 198 476 96 315 0 0 23
NA20504 0 26745 58740 164 510 63 316 0 0 20
NA20505 0 30118 55367 233 441 87 271 0 0 24
NA20506 0 26823 58662 198 476 88 307 0 0 25
NA20507 0 28566 56919 194 480 71 294 0 0 24
NA20508 0 27841 57644 207 467 79 289 0 0 23
NA20509 0 27749 57736 221 453 92 288 0 0 24
NA20510 0 28919 56566 227 447 90 280 0 0 25
NA20512 0 27788 57697 235 439 119 301 0 0 26
NA20513 0 27157 58328 211 463 78 284 0 0 23
NA20514 0 26648 58837 196 478 87 308 0 0 16
NA20515 0 27133 58352 253 421 101 265 0 0 19
NA20516 0 27619 57866 186 488 86 317 0 0 29
NA20517 0 27579 57906 187 487 75 305 0 0 16
NA20518 0 28330 57155 225 449 91 283 0 0 25
NA20519 0 28196 57289 245 429 111 283 0 0 33
NA20520 0 28155 57330 241 433 107 283 0 0 25
NA20521 0 28601 56884 197 477 88 308 0 0 22
NA20524 0 27640 57845 222 452 103 298 0 0 26
NA20525 0 29462 56023 276 398 128 269 0 0 32
NA20527 0 26010 59475 199 475 108 326 0 0 27
NA20528 0 29489 55996 261 413 112 268 0 0 30
NA20529 0 26791 58694 213 461 99 303 0 0 26
NA20530 0 27445 58040 180 494 71 308 0 0 25
NA20531 0 27906 57579 235 439 109 291 0 0 30
NA20532 0 27846 57639 245 429 110 282 0 0 31
NA20534 0 27501 57984 171 503 78 324 0 0 25
NA20535 0 27370 58115 261 413 100 256 0 0 26
NA20536 0 26985 58500 208 466 95 304 0 0 26
NA20538 0 28405 57080 225 449 107 299 0 0 33
NA20539 0 28514 56971 236 438 117 298 0 0 28
NA20540 0 27579 57906 224 450 111 304 0 0 32
NA20541 0 28607 56878 259 415 110 268 0 0 32
NA20542 0 27839 57646 169 505 80 328 0 0 20
NA20543 0 26927 58558 172 502 86 331 0 0 29
NA20544 0 29858 55627 215 459 104 306 0 0 29
NA20581 0 28471 57014 235 439 112 294 0 0 28
NA20582 0 27881 57604 242 432 114 289 0 0 34
NA20585 0 25532 59953 196 478 69 290 0 0 17
NA20586 0 27122 58363 226 448 104 295 0 0 26
